no,candidate,constituency,party,cases,education,total_assets,liabilities
208,Amit Kumar,HARGAON (SC),Sarv Sambhaav Party,0,Graduate,350619,0
209,Amit Kumar,SALON (SC),Manavtawadi Samaj Party,0,12th Pass,74454,0
210,Amit Kumar,BARA (SC),IND,0,Graduate,49777,0
211,Amit Kumar,LONI,IND,2,8th Pass,21000,0
212,Amit Kumar,MENHDAWAL,IND,0,Graduate,665000,0
213,Amit Kumar Singh,NOORPUR,IND,0,Post Graduate,170953,0
214,Amit Patel,GOSHAINGANJ,Bahujan Mukti Party,3,Graduate Professional,1360986,0
215,Amit Priyadarshi Rajput,JALALABAD,RLD,0,Graduate Professional,430000,0
216,Amit Raj Anand,MEJA,IND,0,Graduate,7000,0
217,Amit Sharma,MEERUT,Hindusthan Nirman Dal,3,8th Pass,54000,0
218,Amit Singh,MAHOLI,Bharatiya Subhash Sena,0,Graduate,323000,0
219,Amit Singh,HARCHANDPUR,IND,0,Graduate,60000,0
220,Amit Singh,MEERGANJ,IND,0,Post Graduate,920849,278930
221,Amit Singh Urf Anna,LUCKNOW CENTRAL,Rashtriya Janadhar Party,0,Post Graduate,146000,0
222,Amit Yadav,CHITRAKOOT,CPI,3,Graduate Professional,1477000,0
223,Amita Singh,CHARTHAWAL,Lok Dal,0,Others,10003000,1270000
224,Amitabh Bajpai,ARYA NAGAR,SP,0,Post Graduate,26090438,4994119
225,Amjad,SAHARANPUR,Lok Dal,0,8th Pass,452000,0
226,Amod Kumar,NAUGAWAN SADAT,IND,1,10th Pass,4977023,518700
227,Amrata Singh,KHALILABAD,IND,0,10th Pass,3006000,0
228,Amrendra,GORAKHPUR URBAN,Gondvana Gantantra Party,0,12th Pass,244500,0
229,Amrendra Nishad,PIPRAICH,SP,0,Graduate,13853893,347435
230,Amresh,MIRZAPUR,Bharatiya Chhatrasangh Bharat,0,Graduate Professional,430000,0
231,Amresh Chand,MADHUBAN,INC,0,Post Graduate,2190611,0
232,Amrish Kumar,KITHORE,IND,0,10th Pass,6769000,0
233,Amrita,PHEPHANA,IND,0,12th Pass,120000,0
234,Amrita Kumar,GARHMUKTESHWAR,IND,0,Graduate,98449902,0
235,Anand,BALLIA NAGAR,BJP,2,Post Graduate,1081596,0
