no,candidate,constituency,party,cases,education,total_assets,liabilities
3784,Satish Kumar,KANTH,Rashtriya Congress(J) Party,0,8th Pass,800584,0
3785,Satish Kumar,GOVERDHAN,IND,0,12th Pass,52000,0
3786,Satish Kumar,VARANASI CANTT.,Samta Samjwadi Congress Party,0,Post Graduate,650301,0
3787,Satish Kumar Agrahari,VARANASI SOUTH,IND,0,8th Pass,2853645,2761800
3788,Satish Kumar Chaturvedi,NAUTANWA,NCP,0,10th Pass,1524375,0
3789,Satish Kumar Nigam,KALYANPUR,SP,0,Post Graduate,72886175,0
3790,Satish Kumar Sharma,MANT,BJP,4,12th Pass,1142981841,145018965
3791,Satish Kumar Urf Satish Chandra Gond,CAIMPIYARGANJ,Bahujan Mukti Party,0,Post Graduate,3335000,0
3792,Satish Mahana,MAHARAJPUR,BJP,1,Graduate,200840592,3819203
3793,Satish Singh,SULTANPUR,IND,0,Post Graduate,5211000,0
3794,Satnam Singh,GANGOH,Sarv Sambhaav Party,0,5th Pass,1840050,250000
3795,Satpal,GARHMUKTESHWAR,IND,0,8th Pass,126783032,3352855
3796,Satpal Singh,BILSI,IND,0,Literate,1360928,0
3797,Satrohan Lal,SITAPUR,RLD,0,8th Pass,122900,0
3798,Satrughan Alias Satrughan Singh Nishad,PANIYRA,Abhay Samaj Party,0,Graduate,884500,0
3799,Satvant,KUSHINAGAR,Peace Party,0,Others,251000,0
3800,Satveer Singh Gurjar,DADRI,BSP,0,10th Pass,13803362,0
3801,Satya Dev Pachauri,GOVINDNAGAR,BJP,0,Post Graduate,116952463,27425564
3802,Satya Kumar Gautam,MALIHABAD (SC),BSP,0,Graduate,3683854,557931
3803,Satya Narayan,KHALILABAD,IND,0,Illiterate,2563000,38000
3804,Satya Narayanshailendra Kumar,KHALILABAD,Bahujan Mukti Party,0,12th Pass,747052,200000
3805,Satya Pal Singh,ALIGANJ,BJP,0,10th Pass,14270061,2490045
3806,Satya Prakash,BILASPUR,IND,0,Graduate,112274,0
3807,Satya Prakash,AGRA NORTH,IND,1,Graduate Professional,1957124,672087
3808,Satya Prakash Agrawal,MEERUT CANTT.,BJP,1,Illiterate,47671078,2870000
3809,Satyadeo Yadav,JANGIPUR,Lok Dal,0,Post Graduate,3430000,50000
3810,Satyadev,MANIKPUR,IND,0,Literate,142500,0
3811,Satyadev Yadav,GHAZIPUR,Lok Dal,0,Post Graduate,102990000,50000
3812,Satyanand,PHEPHANA,Bahujan Mukti Party,0,Graduate,30500,0
3813,Satyapal Singh Baghel,TUNDLA (SC),BJP,7,Doctorate,34668212,0
3814,Satyaprakash,GORAKHPUR URBAN,IND,0,Post Graduate,58694656,17324162
3815,Satyaveer,SORAON (SC),SP,0,Post Graduate,19903080,259959
3816,Satyaveer,DEBAI,RLD,0,12th Pass,11192678,922000
3817,Satyavir Tyagi,KITHORE,BJP,2,12th Pass,30313852,813960
3818,Satyendra,PIPRAICH,Samajwadi Jan Parishad,0,Graduate,197817,0
3819,Satyendra Kumar,SITAPUR,Bharatiya Subhash Sena,0,8th Pass,273494,0
3820,Satyendra Kumar Kushwaha,ALLAHABAD SOUTH,RPI,0,Graduate,266048,0
3821,Satyendra Pal Singh,JHANSI NAGAR,Bundelkhand Kranti Dal,0,Post Graduate,3370743,343000
3822,Satyendra Singh,MEJA,IND,0,Graduate,210000,0
3823,Satyendra Singh,MAINPURI,Manav Hit Party,1,10th Pass,100500,0
3824,Satyendra Yadav,SIKANDERPUR,Jan Adhikar Party,0,10th Pass,5129000,0
3825,Satyesh Kumar,BACHHRAWAN (SC),Jan Adhikar Party,0,12th Pass,694000,0
3826,Satynarayan,CHITRAKOOT,IND,0,12th Pass,62000,0
3827,Saudagar Yadav,PHEPHANA,RLD,0,Graduate,169000,0
3828,Saurabh Kumar,AJAGARA (SC),IND,0,Graduate Professional,3003820,20000000
3829,Saurabh Kumar,SHAHABAD,IND,0,Graduate,691000,0
3830,Saurabh Kumar Srivastava,VARANASI CANTT.,BJP,1,Graduate,37758942,223108
3831,Saurabh Mishra,FATEHPUR,IND,0,Graduate,4725146,0
3832,Saurabh Singh,KASTA (SC),BJP,0,Post Graduate,9879912,1079063
3833,Savit Ali,MEHNAUN,IND,0,8th Pass,3635000,0
3834,Savita Malik,CHHAPRAULI,Bahujan Mukti Party,0,Literate,147500,0
3835,Savita Sahoo,ALLAHABAD SOUTH,IND,0,Post Graduate,550000,0
3836,Savita Singh,MAHOBA,Fauji Janta Party,0,12th Pass,300000,0
3837,Savitri,BANSGAON (SC),Hamari Apni Party,0,Literate,118000,0
3838,Savitri Katheria,BHARTHANA (SC),BJP,0,10th Pass,2090204,0
3839,Sayed Anwar Ali,BHOJPUR,Rashtravyapi Janta Party,0,10th Pass,3123500,0
3840,Sayeed A.,RUDHAULI,INC,0,10th Pass,73098238,2000000
3841,Saziya Khatoon,MOHAMMDI,Swarajya Party Of India,0,Not Given,100000,0
3842,Seema,MUNGRA BADSHAHPUR,BJP,1,Post Graduate,14990700,1300000
3843,Seema Devi,GYANPUR,IND,0,8th Pass,1877000,0
3844,Seema Sachan,SIKANDRA,SP,0,Post Graduate,291479759,17910000
3845,Seema Singh,LUCKNOW NORTH,Sarv Sambhaav Party,0,Doctorate,34525130,4550000
3846,Seema Singh,MARIYAHU,IND,2,12th Pass,13767963,2813227
3847,Seema Srivastava,BITHARI CHAINPUR,Bharat Kalyan Party,0,Post Graduate,163552,0
3848,Seema Yadav,SIKANDRA,Nirdhan Samaj Party of India,0,Illiterate,272000,0
3849,Sethpal,KAIRANA,IND,0,8th Pass,14160792,600000
3850,Seva Ram Singh,ROHANIYA,Shoshit Samaj Dal,0,Doctorate,2075000,36000
3851,Sewalal Sonkar,BINDKI,IND,2,Graduate Professional,7000733,70000
3852,Shabanam,SAHARANPUR NAGAR,IND,0,Literate,51000,0
3853,Shabnur Begum,SAHARANPUR,IND,0,8th Pass,160600,0
3854,Shah Alam,MAU,Pichhravarg Mahapanchayat Party,0,Graduate,282348,0
3855,Shah Alam Urf Guddu Jamali,MUBARAKPUR,BSP,0,Post Graduate,1187621354,28534000
3856,Shahab Sharan,BACHHRAWAN (SC),INC,0,Graduate,4922091,270000
3857,Shahabuddin,ISAULI,IND,0,Graduate,3288658,0
3858,Shahbuddin,MORADABAD NAGAR,All India Majlis-E-Ittehadul Muslimeen,2,10th Pass,7876136,4336144
3859,Shaheen Hasan,BINDKI,RLD,4,Graduate,69550000,0
3860,Shahid,DHOLANA,National Lokmat Party,0,5th Pass,4522000,0
3861,Shahid Husain Khan,BILASPUR,Peace Party,0,10th Pass,11368465,2275000
3862,Shahid Manzoor,KITHORE,SP,0,Post Graduate,32436217,0
3863,Shahnawaz,RAM NAGAR,All India Majlis-E-Ittehadul Muslimeen,1,5th Pass,1027506,0
3864,Shahnawaz Rana,KHATAULI,RLD,13,Graduate Professional,71241239,12023000
3865,Shahroon Nisa,FAZILNAGAR,IND,1,Graduate,96500,0
3866,Shahwaz Husain Khan,SHAHABAD,Manav Kranti Party,0,Graduate,241000,0
3867,Shahzama Khan,MUZAFFAR NAGAR,IND,0,Graduate,53007,0
3868,Shail Mishra,GOVINDNAGAR,Bhartiya Shakti Chetna Party,0,Graduate,554998,0
3869,Shaila Tahir,NAWABGANJ,Ittehad-E-Millait Council,4,10th Pass,16022000,0
3870,Shailendra,BITHOOR,IND,0,Graduate Professional,3724000,475000
3871,Shailendra,BELTHARA ROAD (SC),SUCI(C),0,Graduate,1027000,0
3872,Shailendra Kumar Alias Shailendra Singh,BANGERMAU,Nirbal Indian Shoshit Hamara Aam Dal,0,Post Graduate,10310000,0
3873,Shailendra Kumar Gangwar,PILIBHIT,Jan Adhikar Manch,0,Post Graduate,9884651,231000
3874,Shailendra Kumar Prajapati,ALLAHABAD NORTH,IND,0,12th Pass,146000,0
3875,Shailendra Kumar Singh,AMETHI,IND,0,Post Graduate,3023514,0
3876,Shailendra Pratap,BARHAPUR,IND,0,Graduate,180100,0
3877,Shailendra Pratap Singh Alias Himalay,HATA,IND,0,Graduate Professional,10249000,0
3878,Shailendra Singh,SAROJINI NAGAR,Ojaswi Party,0,12th Pass,239000,0
3879,Shailendra Singh,BHAGWANTNAGAR,RASHTRIYA VIKLANG PARTY,0,Post Graduate,1323130,0
3880,Shailendra Singh,BHOJPUR,IND,0,12th Pass,1138356,0
3881,Shailendra Singh Gangwar,BARKHERA,BSP,3,Post Graduate,38407753,13128205
3882,Shailendra Tripathi,ISAULI,BSP,0,Post Graduate,23212876,3006803
3883,Shailendra Yadav Lalai,SHAHGANJ,SP,7,Graduate,157401859,0
3884,Shailendri Kushwah,BITHOOR,Jan Adhikar Manch,0,Graduate Professional,8336214,625000
3885,Shailesh,BALLIA NAGAR,CPI(M),0,Graduate Professional,6392576,0
3886,Shailesh Kumar,GORAKHPUR URBAN,IND,0,12th Pass,1090000,0
3887,Shailesh Kumar,SHIKOHABAD,BSP,1,10th Pass,51827000,6000000
3888,Shailesh Kumar Singh,GAINSARI,BJP,7,Post Graduate,20309830,0
3889,Shakeel Ahmad,MEERGANJ,Peace Party,0,10th Pass,7749000,0
3890,Shakeel Ahmad Khan,RANIGANJ,BSP,0,12th Pass,13641524,0
3891,Shakila,DADRI,IND,0,8th Pass,1580000,0
3892,Shakir Ali,PATHARDEVA,SP,2,Graduate,44405717,0
3893,Shakuntla Devi,POWAYAN (SC),SP,0,8th Pass,39696991,8994027
3894,Shakuntla Devi,MADHAUGARH,Sarv Sambhaav Party,0,10th Pass,4897352,500000
3895,Shalabh Maheshwari,MARHARA,BSP,0,12th Pass,152826503,2955159
3896,Shaligram,MUGHALSARAI,IND,2,10th Pass,12000,17913
3897,Shalini Singh,FARIDPUR (SC),IND,0,Graduate,15175124,5109073
3898,Shambhoo Alis Shambhoo Prasad Prajapati,NAUTANWA,Bahujan Mukti Party,0,Graduate Professional,40100,0
3899,Shambhoo Sharan Kushwaha,RAMPUR KARKHANA,IND,0,Post Graduate,2479282,7868
3900,Shambhu Prasad Divedi,LUCKNOW NORTH,Fauji Janta Party,0,Literate,1080613,0
3901,Shameem,ZAHOORABAD,CPI,0,8th Pass,2731497,0
3902,Shameem Ahmad,AMROHA,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,13313034,500000
3903,Shamshad Ahmad,HUSAINGANJ,Bahujan Sangharsh Party (Kanshiram),0,10th Pass,307000,50000
3904,Shamshad Hussain,THAKURDWARA,IND,0,10th Pass,20000,0
3905,Shamsher,DHAURAHRA,IND,0,Illiterate,10730424,1078044
3906,Shamsher Bahadur,DHAURAHRA,BSP,0,Graduate Professional,19583191,3532734
3907,Shamsher Rana,GHAZIABAD,IND,0,12th Pass,4042000,0
3908,Shamsher Singh,HUSAINGANJ,Fauji Janta Party,0,12th Pass,577940,0
3909,Shamshuddin,GOLA GOKRANNATH,Rashtriya Vikalp Party,0,5th Pass,467000,0
3910,Shandhya Devi,DIBIYAPUR,IND,0,Post Graduate,69629549,2136350
3911,Shankar Lal,JHANSI NAGAR,SHS,0,5th Pass,10855036,0
3912,Shankar Prasad,VARANASI CANTT.,Rashtriya Samajwadi Jankranti Party,0,Not Given,2549040,0
3913,Shanker Lal,PATHARDEVA,Bharatiya Jan Sabha,0,10th Pass,5516843,0
3914,Shankhlal,JALALPUR,SP,0,Graduate,81205680,3742496
3915,Shantee,AKBARPUR-RANIYA,Shoshit Samaj Dal,0,Literate,1442000,0
3916,Shanti Devi,SEVATA,Jai Hind Samaj Party,0,5th Pass,9120000,0
3917,Shanti Devi,TANDA,Moulik Adhikar Party,0,Literate,4300690,25000
3918,Shanti Swaroop,FARRUKHABAD,IND,0,10th Pass,75000,0
3919,Shanti Swroop Sharma,SHIKARPUR,IND,0,12th Pass,22320299,750000
3920,Sharad Jain,BARAUT,IND,0,Post Graduate,1546700,0
3921,Sharad Jaiswal,PILIBHIT,IND,0,Post Graduate,3196000,0
3922,Sharad Khare,ALLAHABAD NORTH,Rashtravadi Pratap Sena,0,Post Graduate,162157,0
3923,Sharad Kumar Awasthi,RAM NAGAR,BJP,0,Post Graduate,29141248,2135019
3924,Sharad Kumar Pandey,GAURIGANJ,IND,0,12th Pass,5161024,0
3925,Sharad Vir Singh,JALALABAD,SP,0,Graduate,46062376,0
3926,Sharada Devi,BANSGAON (SC),SP,0,Literate,15138292,2238423
3927,Sharada Prasad Baudh,CHUNAR,Uttar Pradesh Republican Party,0,8th Pass,736000,0
3928,Sharda Prasad,CHAKIA (SC),BJP,1,Literate,6171000,0
3929,Sharda Pratap Shukla,SAROJINI NAGAR,RLD,0,Post Graduate,21839093,0
3930,Shardindu Trivedi,SHRAWASTI,Bharatiya Democratic Socialist Alliance Party,0,Graduate Professional,115962620,680000
3931,Shareef,SANDILA,IND,0,5th Pass,659000,0
3932,Shashank Shekhar Singh,BHAGWANTNAGAR,BSP,0,Graduate Professional,13936894,2207207
3933,Shashank Trivedi,MAHOLI,BJP,0,Graduate Professional,18302435,604951
3934,Shashi,AMROHA,IND,0,Literate,690800,0
3935,Shashi Bhooshan,PHARENDA,Lok Dal,0,Post Graduate,3213000,100000
3936,Shashi Bhushan,SIRATHU,Lok Dal,0,Post Graduate,1724000,0
3937,Shashi Devi,BITHOOR,Voters Party International,0,Graduate,26030000,0
3938,Shashi Lata,SARENI,Manavtawadi Samaj Party,0,Post Graduate,176500,0
3939,Shashi Prakash,MIRZAPUR,IND,0,12th Pass,700400,0
3940,Shashibhusan,RANIGANJ,IND,0,Post Graduate,1633000,0
3941,Shashidhar Mishra Naame Maharaj,LAKHIMPUR,BSP,1,Post Graduate,156195690,67661685
3942,Shashikant,AJAGARA (SC),Ambedkar Samaj Party,2,12th Pass,82200,0
3943,Shashikant,MUGHALSARAI,CPI(ML)(L),1,Graduate,92000,0
3944,Shatrohan Lal Rawat,MOHAN (SC),RLD,0,8th Pass,22500000,48000
3945,Shatrughan,VARANASI CANTT.,Adarshwaadi Congress Party,0,Literate,678000,0
3946,Shatrughan,GORAKHPUR URBAN,IND,0,Graduate,100000,0
3947,Shaurya Deep,ALLAHABAD NORTH,IND,0,Graduate,4564000,0
3948,Shaz Ishaq Urf Ajju Ishaq,KOIL,SP,0,Graduate,10391000,1296000
3949,Shazil Islam Ansari,BHOJIPURA,SP,1,Graduate Professional,27698015,1807372
3950,Sheetal Pandey,SAHAJANWA,BJP,0,Graduate,1992406,0
3951,Sheetla Prasad,SIRATHU,BJP,0,10th Pass,8406845,1726407
3952,Shekh Khuda Bakhs,MANIKPUR,IND,0,Graduate,2791197,0
3953,Sher Ali Zafri,BHOJIPURA,Ittehad-E-Millait Council,0,Post Graduate,30810700,130000
3954,Sher Bahadur,JAUNPUR,Nirbal Indian Shoshit Hamara Aam Dal,0,12th Pass,12296000,0
3955,Sher Singh,KAPTANGANJ,RLD,0,5th Pass,54000,0
3956,Sherbaz Khan,CHANDPUR,INC,13,Graduate Professional,21787199,917000
3957,Sheshnath,RUDRAPUR,Jan Adhikar Party,0,10th Pass,560000,0
3958,Sheshnath Pandey,GORAKHPUR URBAN,Rashtriya Janadhar Party,0,Literate,13354,0
3959,Shikha Saroj,CHAIL,IND,0,Graduate,5830886,0
3960,Shishu Pratap Singh,AMRITPUR,IND,0,Post Graduate,11029461,2930148
3961,Shitala Prasad,KADIPUR (SC),Nirbal Indian Shoshit Hamara Aam Dal,0,10th Pass,135000,25033
3962,Shiv Bahadur,MANKAPUR (SC),Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate,1863000,0
3963,Shiv Bahadur Saxena,RAMPUR,BJP,1,12th Pass,19045660,1207687
3964,Shiv Chandra,PHULPUR,IND,0,8th Pass,2450,0
3965,Shiv Janak,KORAON (SC),Bahujan Mukti Party,0,10th Pass,160529,0
3966,Shiv Kumar,SAHARANPUR NAGAR,Swatantra Jantaraj Party,0,Literate,51000,0
3967,Shiv Kumar,GOPAMAU (SC),IND,0,12th Pass,13568447,0
3968,Shiv Kumar,BALRAMPUR (SC),Peace Party,0,10th Pass,4220756,0
3969,Shiv Kumar,ISAULI,Most Backward Classes Of India,2,12th Pass,109903000,6200000
3970,Shiv Kumar,BANSI,Bharatiya Subhash Sena,0,8th Pass,380500,0
3971,Shiv Kumar Beriya,BILHAUR (SC),SP,0,Graduate Professional,18694051,2413649
3972,Shiv Kumar Gupta,SEVATA,SP,30,12th Pass,190166768,67888650
3973,Shiv Kumar Gupta,SAHARANPUR NAGAR,IND,0,8th Pass,76000,0
3974,Shiv Kumar Singh,MATERA,IND,0,10th Pass,3316000,0
3975,Shiv Kumar Urf Shiv Kumari,BELTHARA ROAD (SC),IND,0,8th Pass,13000,0
3976,Shiv Kumari Devi,PHARENDA,Jai Hind Samaj Party,0,Literate,60000,0
3977,Shiv Narayan,MAHASI,IND,0,12th Pass,844638,0
3978,Shiv Narayan,AMETHI,IND,0,Graduate,102000,0
3979,Shiv Narayan,JAHANABAD,Bharat (Integrated) Rakshak Party,0,12th Pass,310000,0
3980,Shiv Prakash,GOSHAINGANJ,Swatantra Jantaraj Party,0,10th Pass,350000,0
3981,Shiv Prasad,HARRAIYA,Bahujan Mukti Party,0,10th Pass,30500,0
3982,Shiv Prasad Verma,ALLAHABAD SOUTH,IND,0,5th Pass,44857229,10106320
3983,Shiv Prasad Yadav,BIDHUNA,BSP,0,Graduate,46242645,6689280
3984,Shiv Ram Shukla,PRATAPGARH,IND,0,Graduate,1586913,0
3985,Shiv Shankar,LAMBHUA,Most Backward Classes Of India,0,Graduate Professional,1054141,0
3986,Shiv Shankar Kushwaha,PURWA,Bahujan Mukti Party,1,Graduate,464606,0
3987,Shiv Sharan,BABERU,Jan Adhikar Party,0,Literate,2348500,0
3988,Shiv Sharan,ALLAHABAD SOUTH,IND,0,12th Pass,78578,0
3989,Shiv Singh,SIRATHU,CPI,0,5th Pass,2350000,0
3990,Shiv Singh Chak,TUNDLA (SC),SP,0,12th Pass,8739571,0
3991,Shiv Veer Singh,KALPI,CPI(ML)(L),0,Graduate Professional,134804,0
3992,Shiva Rajput,MARHARA,IND,0,12th Pass,4088583,0
3993,Shiva Sonkar,SHIVPUR,Rashtriya Krantikari Samajwadi Party,0,Post Graduate,60000,0
3994,Shivaji,RAMPUR KARKHANA,RLD,0,8th Pass,4758000,0
3995,Shivaji Singh,SAHAJANWA,Nirbal Indian Shoshit Hamara Aam Dal,1,Graduate Professional,21231000,0
3996,Shivakant,RANIGANJ,SP,0,Post Graduate,31221702,769369
3997,Shivakant Shastri,CHITRAKOOT,IND,0,Post Graduate,225080,0
3998,Shivam Sharma,TILHAR,SHS,0,Graduate,300000,0
3999,Shivan Singh Saini,KHATAULI,BSP,0,12th Pass,60035151,2455922
4000,Shivbachan,DIDARGANJ,IND,0,Graduate,2226393,0
4001,Shivbhajan,BARA (SC),Rashtriya Samaj Paksha,0,10th Pass,68950,0
4002,Shivdatt,PIPRAICH,Lok Dal,0,8th Pass,50000,0
4003,Shivendra Singh,SISWA,SP,1,Graduate,62846982,0
4004,Shivendra Singh,MADHAUGARH,IND,0,Graduate,103500,0
4005,Shivkumar Kharwar,DUDDHI (ST),RLD,0,8th Pass,782700,0
4006,Shivkumari,PADRAUNA,INC,0,Literate,24850040,736712
4007,Shivlal,BALRAMPUR (SC),INC,0,12th Pass,3294117,0
4008,Shivmani,GYANPUR,Rashtriya Janshanti Party,0,8th Pass,696300,0
4009,Shivnath Yadav,VARANASI SOUTH,CPI(M),0,Graduate,2977000,500000
4010,Shivpal Singh Yadav,JASWANTNAGAR,SP,0,Graduate Professional,93586371,12615114
4011,Shivpratap Singh,JASRANA,SP,0,Post Graduate,21313937,178562
4012,Shivraj Singh Yadav,JASRANA,BSP,0,Post Graduate,15320000,0
4013,Shivshankar Chauhan,BANSDIH,BSP,0,10th Pass,16864202,1917645
4014,Shivvilas Singh,TINDWARI,IND,0,12th Pass,883762,56174
4015,Shobh Nath,JAGDISHPUR (SC),IND,0,8th Pass,102000,0
4016,Shobha Ram,BUDHANA,IND,0,Literate,10051542,0
4017,Shobha Singh Chauhan,BIKAPUR,BJP,0,8th Pass,16468986,0
4018,Shobhit Pathak,SHAHABAD,RLD,0,Literate,13893176,467101
4019,Shokendra,BARAUT,SP,0,12th Pass,5589010,0
4020,Shokheeram,FATEHABAD,Nirbal Indian Shoshit Hamara Aam Dal,0,Graduate,5612000,0
4021,Shoukin Singh,FIROZABAD,Bharatiya Subhash Sena,0,10th Pass,1559000,0
4022,Shraddha,MARIYAHU,SP,2,12th Pass,9232000,4121132
4023,Shravan Kumar Shukla,LUCKNOW EAST,Rashtriya Shahri Vikas Party,0,Graduate,434000,0
4024,Shrawan Kumar,MOHANLALGANJ (SC),IND,0,8th Pass,3172160,0
4025,Shree Ram,BALRAMPUR (SC),IND,0,12th Pass,2800000,0
4026,Shree Ram,SHIVPUR,Moulik Adhikar Party,0,12th Pass,500000,0
4027,Shreenath,RANIGANJ,Nirbal Indian Shoshit Hamara Aam Dal,0,12th Pass,6094000,1074000
4028,Shri Chandra,SIKANDRA RAO,IND,0,Literate,680500,0
4029,Shri Dharmdev,KALYANPUR,SUCI(C),0,12th Pass,4370586,0
4030,Shri Kant,SAGRI,CPI,0,Graduate Professional,233471,0
4031,Shri Krishan Verma,HARDOI,IND,0,Graduate,7975000,0
4032,Shri Krishna Pal,GOPALPUR,BJP,0,Graduate Professional,2128717,0
4033,Shri Ram,DHANGHATA (SC),BJP,1,Post Graduate,11195708,76000
4034,Shri Ram Baurasi,GAURIGANJ,IND,0,8th Pass,2486084,0
4035,Shribhagwan Sharma,BULANDSHAHR,RLD,5,10th Pass,27218388,0
4036,Shrikant Mishra,TAMKUHI RAJ,IND,0,Not Given,830000,450000
4037,Shrikant Sharma,MATHURA,BJP,0,Graduate,10469364,0
4038,Shrikant Singh,KANNAUJ (SC),IND,0,Graduate,200500,0
4039,Shrikant Varma,BANGERMAU,RLD,1,Graduate,3835000,0
4040,Shrikant Yadav,MADHUBAN,IND,0,Post Graduate,4107234,0
4041,Shrikumar,PATIYALI,IND,0,10th Pass,1460000,0
4042,Shrimati Vijay Laxmi,KALYANPUR,Bhartiya Insan Party,0,10th Pass,12577,0
4043,Shrinarayan,JAHANABAD,Lok Dal,1,Post Graduate,4715000,0
4044,Shrinivas,BHOJPUR,Poorna Swaraj Manch,0,10th Pass,230023,200000
4045,Shripal Singh,HAPUR,BSP,0,8th Pass,96923725,28466450
4046,Shriprakash Mishra,PINDRA,IND,0,Post Graduate,202000,0
4047,Shriram,MUHAMMADABAD-GOHNA (SC),BJP,1,12th Pass,11975000,150000
4048,Shriram,AKBARPUR,Nirbal Indian Shoshit Hamara Aam Dal,1,Post Graduate,11555151,2682000
4049,Shriram,PALIA,Uttar Pradesh Republican Party,0,8th Pass,2240259,0
4050,Shriram,JAHANABAD,Sarvshreshth Dal,1,12th Pass,1431600,60000
4051,Shrwan Kumar Pal,PRATAPGARH,Rashtriya Samaj Paksha,1,12th Pass,2085035,0
4052,Shtendra Kumar Verma,LUCKNOW WEST,Bahujan Mukti Party,0,Post Graduate,1704568,0
4053,Shubham,SANDILA,IND,0,Graduate,20000,0
4054,Shuchismita Maurya,MAJHAWAN,BJP,0,Post Graduate,468568662,60600000
4055,Shuchita Kumar,SEVATA,Socialist Party (India),0,Doctorate,7997946,0
4056,Shujat Alam,BULANDSHAHR,SP,2,Post Graduate,78275161,0
4057,Shweta Pandey,MUGHALSARAI,Poorvanchal Peoples Party,0,Graduate Professional,85000,0
4058,Shyam Babu,TINDWARI,CPI,1,Graduate,121949,0
4059,Shyam Bahadur,PHOOLPUR PAWAI,SP,1,Post Graduate,19009289,1710000
4060,Shyam Bihari,PURANPUR (SC),CPI(ML)(L),0,8th Pass,1900000,0
4061,Shyam Dhani,KAPILVASTU (SC),BJP,1,Graduate,1576105,252928
4062,Shyam Kishor,BISALPUR,Bharatiya Subhash Sena,0,Post Graduate,402000,190000
4063,Shyam Kumar,BHAGWANTNAGAR,Jan Adhikar Manch,0,5th Pass,1256200,0
4064,Shyam Kumar,ORAI (SC),Bhartiya Shakti Chetna Party,0,Graduate Professional,173525,0
4065,Shyam Lal,SORAON (SC),Bahujan Awam Party,0,Graduate,245000,0
4066,Shyam Lal,MAHASI,IND,0,10th Pass,610000,0
4067,Shyam Lal Singh,PINDRA,CPI,1,Post Graduate,1356030,0
4068,Shyam Narayan Singh,SAIYADRAJA,BSP,11,12th Pass,28322125,10798266
4069,Shyam Prakash,GOPAMAU (SC),BJP,0,Graduate,20894951,11700000
4070,Shyam Singh,ETAWAH,Bhartiya Navodaya Party,0,Graduate Professional,53000,0
4071,Shyam Sonkar,LUCKNOW CENTRAL,SHS,3,8th Pass,268646,0
4072,Shyam Sree,FARRUKHABAD,Bhartiya Shakti Chetna Party,0,8th Pass,3159894,1235000
4073,Shyam Sundar,AGRA SOUTH,Bahujan Mukti Party,0,10th Pass,7000,0
4074,Shyam Sundar,BACHHRAWAN (SC),BSP,0,10th Pass,3540098,59811
4075,Shyam Sunder Sharma,MANT,BSP,0,Post Graduate,59850000,9553000
4076,Shyam Sunder Singh,BANDA,CPI,0,Post Graduate,725552,0
4077,Shyamcharan,KHAJANI (SC),IND,0,Literate,46414,0
4078,Shyamdhar Dubey,MAJHAWAN,RPI,1,Graduate,5215000,685000
4079,Shyaml Singh,UNNAO,Bharatiya Subhash Sena,0,12th Pass,490000,0
4080,Shyamlal Maury,SEVAPURI,CPI(M),2,12th Pass,4011141,49989
4081,Shyamnarayan,JALALPUR,CPI,0,Post Graduate,800000,3315
4082,Shyamsundar,PATIYALI,Mahan Dal,0,Post Graduate,255936269,1008607
4083,Sibgatulla Ansari,MOHAMMADABAD,BSP,0,Graduate,46388220,0
4084,Siddharth Malik,GARHMUKTESHWAR,IND,0,Graduate Professional,6000517,0
4085,Siddharth Shekhar Bauddh,MARIHAN,IND,0,Graduate,107000,0
4086,Siddhgopal Sahu,MAHOBA,SP,0,Post Graduate,59790434,11184977
4087,Sidharth Nath Singh,ALLAHABAD WEST,BJP,0,Graduate,220677358,93172910
4088,Sidhraj Singh,AONLA,SP,0,Post Graduate,19652460,911542
4089,Sindh Vijay,CHILLUPAR,IND,0,10th Pass,111100,0
4090,Sindhora Devi,CHHANBEY (SC),Bahujan Mukti Party,0,Literate,651000,0
4091,Sinod Kumar Shakya,DATAGANJ,BSP,0,12th Pass,37634711,2500000
4092,Sirazul Haq,HARCHANDPUR,IND,2,Graduate,3491956,112890
4093,Sita Devi,GYANPUR,Aadhi Aabadi Party,0,8th Pass,2135962,0
4094,Sita Ram,LUCKNOW CENTRAL,Uttar Pradesh Republican Party,0,10th Pass,1620000,0
4095,Sitaram,BABAGANJ (SC),IND,0,Graduate Professional,1241172,0
4096,Sitaram,TILOI,IND,0,10th Pass,191800,0
4097,Sitaram,SADAR,BJP,3,Post Graduate,38844262,61693
4098,Sitaram,RAMKOLA(SC),Bahujan Mukti Party,0,12th Pass,1372000,0
4099,Sitaram Kushwaha,JHANSI NAGAR,BSP,0,12th Pass,26391000,40000
4100,Sitaram Shukla,KIDWAI NAGAR,IND,0,10th Pass,393356,0
4101,Siya Ram,SALON (SC),IND,2,8th Pass,3081160,0
4102,Siya Ram,SHRAWASTI,IND,0,Illiterate,830000,0
4103,Siyaram,MEHNAUN,IND,0,Literate,905411,0
4104,Smt Anupama Maurya,BAHERI,Jan Adhikar Manch,0,Post Graduate,11517958,0
4105,Smt Konika,SITAPUR,Uttar Pradesh Republican Party,0,10th Pass,5120000,0
4106,Smt Madhuri Verma,NANPARA,BJP,0,10th Pass,21152761,582832
4107,Smt Rubab Sayeda,BAHARAICH,SP,0,Post Graduate,99312472,59400000
4108,Smt. Anupma Jaiswal,BAHARAICH,BJP,0,Post Graduate,26097506,2163714
