Constituency,Candidate,Party,Votes
Uttar Pradesh - Lalitpur,GANESHRAM RAJAK,Independent,1556
Uttar Pradesh - Lalitpur,SACHENDRA,Independent,1305
Uttar Pradesh - Lalitpur,OMPRAKASH,Bahujan Mukti Party,1186
Uttar Pradesh - Lalitpur,KAMALESH KUMAR,Independent,1027
Uttar Pradesh - Lalitpur,KRANTI,Rashtriya Kisan Majdoor Party,947
Uttar Pradesh - Lalitpur,RAJENDRA KUMAR KUSHWAH,Jan Adhikar Party,711
Uttar Pradesh - Lalitpur,None of the Above,None of the Above,4859
Uttar Pradesh - Mehroni,MANOHAR LAL,Bharatiya Janata Party,159291
Uttar Pradesh - Mehroni,FERAN LAL,Bahujan Samaj Party,59727
Uttar Pradesh - Mehroni,BRIJ LAL KHABRI,Indian National Congress,43171
Uttar Pradesh - Mehroni,RAMESH KHATIK,Samajwadi Party,27031
Uttar Pradesh - Mehroni,ARADHANA,Communist Party of India,4603
Uttar Pradesh - Mehroni,SUKH DAYAL,Independent,1939
Uttar Pradesh - Mehroni,RAM LAL,Independent,1868
Uttar Pradesh - Mehroni,MANOJ KUMAR,Independent,1492
Uttar Pradesh - Mehroni,DASHRATH,Rashtriya Sarvajan Party,1217
Uttar Pradesh - Mehroni,PRITAM LAL,Independent,1057
Uttar Pradesh - Mehroni,JITENDRA,Independent,786
Uttar Pradesh - Mehroni,KANHAIYA,Independent,741
Uttar Pradesh - Mehroni,RAKESH KUMAR,Jan Adhikar Party,738
Uttar Pradesh - Mehroni,None of the Above,None of the Above,4092
Uttar Pradesh - Hamirpur,ASHOK KUMAR SINGH CHANDEL,Bharatiya Janata Party,110888
Uttar Pradesh - Hamirpur,DR. MANOJ KUMAR PRAJAPATI,Samajwadi Party,62233
Uttar Pradesh - Hamirpur,SANJEEV KUMAR URF SANJAY DIXIT,Bahujan Samaj Party,60543
Uttar Pradesh - Hamirpur,ANUDDIN (MAULANA KHAN),Nirbal Indian Shoshit Hamara Aam Dal,8513
Uttar Pradesh - Hamirpur,DHARMENDRA,Bhartiya Shakti Chetna Party,1931
Uttar Pradesh - Hamirpur,RAMAKANT,Independent,1022
Uttar Pradesh - Hamirpur,LALLU PRASAD,Independent,990
Uttar Pradesh - Hamirpur,OM PRAKASH,Bahujan Mukti Party,912
Uttar Pradesh - Hamirpur,MAHESHWARIDEEN,Jan Adhikar Party,841
Uttar Pradesh - Hamirpur,JAMAL ALAM,VANCHITSAMAJ INSAAF PARTY,748
Uttar Pradesh - Hamirpur,RAM MILAN,Adarsh Samaj Party,629
Uttar Pradesh - Hamirpur,None of the Above,None of the Above,3356
Uttar Pradesh - Rath,MANISHA ANURAGI,Bharatiya Janata Party,147526
Uttar Pradesh - Rath,GAYADEEN ANURAGI,Indian National Congress,42883
Uttar Pradesh - Rath,ANIL KUMAR AHIRWAR,Bahujan Samaj Party,38710
Uttar Pradesh - Rath,AJIT KUMAR,Jan Adhikar Party,3083
Uttar Pradesh - Rath,GANGOTRI,Independent,2334
Uttar Pradesh - Rath,RAMESH CHANDRA VERMA,Bahujan Mukti Party,1674
Uttar Pradesh - Rath,DEVI SINGH,Rashtriya Shoshit Samaj Party,1206
Uttar Pradesh - Rath,None of the Above,None of the Above,4595
Uttar Pradesh - Mahoba,RAKESH KUMAR GOSWAMI,Bharatiya Janata Party,88291
Uttar Pradesh - Mahoba,SIDDH GOPAL SAHU,Samajwadi Party,56904
Uttar Pradesh - Mahoba,ARIMARDAN SINGH,Bahujan Samaj Party,41915
Uttar Pradesh - Mahoba,MUNNALAL DHURIYA,Bhartiya Shakti Chetna Party,1670
Uttar Pradesh - Mahoba,UTTAM SINGH,Rashtriya Lok Dal,1577
Uttar Pradesh - Mahoba,PRAMOD KUMAR,Jan Adhikar Party,1227
Uttar Pradesh - Mahoba,RAMSWAROOP,Independent,844
Uttar Pradesh - Mahoba,SANJAY KUMAR,Independent,843
Uttar Pradesh - Mahoba,RAKESH SINGH,Independent,726
Uttar Pradesh - Mahoba,SAVITA SINGH,Fauji Janta Party,556
Uttar Pradesh - Mahoba,None of the Above,None of the Above,2720
Uttar Pradesh - Charkhari,BRIJBHUSHAN RAJPOOT ALIAS GUDDU BHAIYA,Bharatiya Janata Party,98360
Uttar Pradesh - Charkhari,URMILA DEVI,Samajwadi Party,54346
Uttar Pradesh - Charkhari,JITENDRA KUMAR MISHRA,Bahujan Samaj Party,47408
Uttar Pradesh - Charkhari,HEMLATA KUSHWAHA,Jan Adhikar Manch,2178
Uttar Pradesh - Charkhari,SUSHEEL KUMAR,Bhartiya Shakti Chetna Party,2023
Uttar Pradesh - Charkhari,DILIP SINGH,Rashtriya Lok Dal,1627
Uttar Pradesh - Charkhari,ARJUN SINGH,Independent,1269
Uttar Pradesh - Charkhari,PREMCHANDRA,Independent,1261
Uttar Pradesh - Charkhari,LAXMI PRASAD,Independent,1061
Uttar Pradesh - Charkhari,RAMBHUVAN SINGH ALIAS PRABHAT,Independent,754
Uttar Pradesh - Charkhari,KUNWAR LAL,Independent,643
Uttar Pradesh - Charkhari,None of the Above,None of the Above,2775
Uttar Pradesh - Tindwari,BRAJESH KUMAR PRAJAPATI,Bharatiya Janata Party,82197
Uttar Pradesh - Tindwari,JAGDISH PRASAD PRAJAPATI,Bahujan Samaj Party,44790
Uttar Pradesh - Tindwari,DALJEET SINGH,Indian National Congress,42089
Uttar Pradesh - Tindwari,RAMKARAN SINGH BACHCHAN,Lok Dal,4688
Uttar Pradesh - Tindwari,SHYAM BABU,Communist Party of India,3304
Uttar Pradesh - Tindwari,YOGENDRA SINGH,Independent,1035
Uttar Pradesh - Tindwari,SURESH KUMAR NISHAD,Bahujan Mukti Party,1034
Uttar Pradesh - Tindwari,SHIVVILAS SINGH,Independent,1000
Uttar Pradesh - Tindwari,ACHCHHE LAL,Jan Adhikar Party,823
Uttar Pradesh - Tindwari,BABITA DEVI,Ambedkar Samaj Party,537
Uttar Pradesh - Tindwari,DILEEP KUMAR,Krantikari Yuva Party,451
Uttar Pradesh - Tindwari,None of the Above,None of the Above,2875
Uttar Pradesh - Baberu,CHANDRAPAL KUSHWAHA,Bharatiya Janata Party,76187
Uttar Pradesh - Baberu,KIRAN YADAV,Bahujan Samaj Party,53886
Uttar Pradesh - Baberu,BISHAMBHAR SINGH,Samajwadi Party,51693
Uttar Pradesh - Baberu,RAJBAHADUR,Independent,2881
Uttar Pradesh - Baberu,HASEEB ALI,Communist Party of India,2788
Uttar Pradesh - Baberu,SHIV SHARAN,Jan Adhikar Party,1941
Uttar Pradesh - Baberu,JAGROOP BHASKAR,Ambedkar Samaj Party,965
Uttar Pradesh - Baberu,None of the Above,None of the Above,3559
Uttar Pradesh - Naraini,RAJ KARAN KABIR,Bharatiya Janata Party,92412
Uttar Pradesh - Naraini,BHARAT LAL DIWAKAR,Indian National Congress,47405
Uttar Pradesh - Naraini,GAYACHARAN DINKAR,Bahujan Samaj Party,44610
Uttar Pradesh - Naraini,DAYA RAM,Communist Party of India,3344
Uttar Pradesh - Naraini,MATA PRASAD,Independent,2442
Uttar Pradesh - Naraini,RAMESHCHANDRA KURIL,Rashtriya Lok Dal,2407
Uttar Pradesh - Naraini,RAMKRIPAL,Independent,1899
Uttar Pradesh - Naraini,BABOORAM VERMA,Ambedkar Samaj Party,1503
Uttar Pradesh - Naraini,RAMCHARAN,Independent,1083
Uttar Pradesh - Naraini,RAJENDRA KUMAR,Independent,972
Uttar Pradesh - Naraini,RAM KHELAVAN,Bahujan Mukti Party,826
Uttar Pradesh - Naraini,RAMKISHOR,Independent,770
Uttar Pradesh - Naraini,ARUN KUMAR,Independent,673
Uttar Pradesh - Naraini,None of the Above,None of the Above,3655
Uttar Pradesh - Banda,PRAKASH DWIVEDI,Bharatiya Janata Party,83169
Uttar Pradesh - Banda,MADHUSUDAN KUSHWAHA,Bahujan Samaj Party,50341
Uttar Pradesh - Banda,VIVEK KUMAR SINGH,Indian National Congress,32223
Uttar Pradesh - Banda,MOHD. ASLAM,Independent,2736
Uttar Pradesh - Banda,SHYAM SUNDER SINGH,Communist Party of India,1953
Uttar Pradesh - Banda,VIMAL KRISHAN,Sarv Sambhaav Party,1642
Uttar Pradesh - Banda,MOHD. IRFAN,Independent,1399
Uttar Pradesh - Banda,RAM PRAKASH,Jan Adhikar Party,1099
Uttar Pradesh - Banda,RAVINDRA NATH GUPTA,Rashtriya Lok Dal,991
Uttar Pradesh - Banda,GULAB CHANDRA KUSHWAHA,Bhartiya Shakti Chetna Party,861
Uttar Pradesh - Banda,KAMTA PRASAD TRIVEDI,Independent,673
Uttar Pradesh - Banda,RAM PRAVESH YADAV,Communist Party of India  (Marxist-Leninist)  (Liberation),576
Uttar Pradesh - Banda,RAMAUTAR,Bahujan Mukti Party,530
Uttar Pradesh - Banda,GYANENDRA SRIVASTAVA,Independent,515
Uttar Pradesh - Banda,SANJEEV GUPTA,Independent,476
Uttar Pradesh - Banda,RAMESH KUMAR,Swatantra Jantaraj Party,476
Uttar Pradesh - Banda,AMIT,Shivsena,434
Uttar Pradesh - Banda,RAMSHARAN,Independent,339
Uttar Pradesh - Banda,RANJEET,Lok Dal,324
Uttar Pradesh - Banda,MOHD. TAUFIQUE,Ambedkar Samaj Party,300
Uttar Pradesh - Banda,RAVIKANT,Jan Adhikar Manch,298
Uttar Pradesh - Banda,None of the Above,None of the Above,979
Uttar Pradesh - Chitrakoot,CHANDRIKA PRASAD UPADHYAY,Bharatiya Janata Party,90366
Uttar Pradesh - Chitrakoot,VEER SINGH,Samajwadi Party,63430
Uttar Pradesh - Chitrakoot,JAGDISH PRASAD GAUTAM,Bahujan Samaj Party,47780
Uttar Pradesh - Chitrakoot,AMIT YADAV,Communist Party of India,3378
Uttar Pradesh - Chitrakoot,UGRASEN,Nirbal Indian Shoshit Hamara Aam Dal,2679
Uttar Pradesh - Chitrakoot,CHHEDILAL,Jan Adhikar Manch,2543
Uttar Pradesh - Chitrakoot,CHANDRA KISHOR DWIVEDI,Akhil Bharat Hindu Mahasabha,1746
Uttar Pradesh - Chitrakoot,ASHISH SINGH,Rashtriya Lok Dal,1237
Uttar Pradesh - Chitrakoot,SHIVA KANT SHASTRI,Independent,1186
Uttar Pradesh - Chitrakoot,DURGESH,Bahujan Mukti Party,1147
Uttar Pradesh - Chitrakoot,SATYNARAYAN,Independent,1136
Uttar Pradesh - Chitrakoot,CHANDAN SINGH,Swatantra Jantaraj Party,1042
Uttar Pradesh - Chitrakoot,None of the Above,None of the Above,3529
Uttar Pradesh - Manikpur,R.K. SINGH PATEL,Bharatiya Janata Party,84988
Uttar Pradesh - Manikpur,SAMPAT PAL,Indian National Congress,40524
Uttar Pradesh - Manikpur,CHANDRABHAN SINGH PATEL,Bahujan Samaj Party,32498
Uttar Pradesh - Manikpur,DADDU PRASAD,Bahujan Mukti Party,9697
Uttar Pradesh - Manikpur,SUKHLAL NISHAD,Nirbal Indian Shoshit Hamara Aam Dal,5329
Uttar Pradesh - Manikpur,DINESH PRASAD,Rashtriya Lok Dal,4611
Uttar Pradesh - Manikpur,AKHILESH KUMAR,Rastriya Aam Jan Seva Party,2203
Uttar Pradesh - Manikpur,RAMDAYAL,Independent,2102
Uttar Pradesh - Manikpur,SHEKH KHUDABAKHS,Independent,1959
Uttar Pradesh - Manikpur,SATYADEV,Independent,1848
Uttar Pradesh - Manikpur,HAJARI LAL,Jan Adhikar Manch,1618
Uttar Pradesh - Manikpur,ABHISHEK DWIVEDI,Swabhiman Party,1249
Uttar Pradesh - Manikpur,SARYU PRASAD KESHRVANI,Shivsena,1239
Uttar Pradesh - Manikpur,INDRAPAL,Independent,940
Uttar Pradesh - Manikpur,None of the Above,None of the Above,3752
Uttar Pradesh - Jahanabad,JAI KUMAR SINGH JAIKI,Apna Dal (Soneylal),81438
Uttar Pradesh - Jahanabad,MADANGOPAL VERMA,Samajwadi Party,33832
Uttar Pradesh - Jahanabad,RAM NARAYAN NISHAD,Bahujan Samaj Party,32010
Uttar Pradesh - Jahanabad,ADITYA PANDEY,Rashtriya Lok Dal,21812
Uttar Pradesh - Jahanabad,VIVEK KUMAR,Bhartiya Shakti Chetna Party,2117
Uttar Pradesh - Jahanabad,PREM NARAYAN,Akhil Bhartiya Swarajya Dal,1519
Uttar Pradesh - Jahanabad,MANOJ KUMAR,Jay Hind Jay Bharat Party,1262
Uttar Pradesh - Jahanabad,GRISH CHANDRA,Bharatiya Subhash Sena,1230
Uttar Pradesh - Jahanabad,SHRIRAM,Sarvshreshth Dal,856
Uttar Pradesh - Jahanabad,ANOOP SACHAN,Jan Adhikar Party,853
Uttar Pradesh - Jahanabad,SHRINARAYAN,Lok Dal,783
Uttar Pradesh - Jahanabad,HARI PRASAD NISHAD,Pragatisheel Manav Samaj Party,756
Uttar Pradesh - Jahanabad,JAGDISHWAR,Independent,726
Uttar Pradesh - Jahanabad,KRISHNA DUTT,Fauji Janta Party,579
Uttar Pradesh - Jahanabad,SHIVNARAYAN,Bharat (Integrated) Rakshak Party,465
Uttar Pradesh - Jahanabad,None of the Above,None of the Above,1262
Uttar Pradesh - Bindki,KARAN SINGH PATEL,Bharatiya Janata Party,97996
Uttar Pradesh - Bindki,RAMESHWAR DAYAL,Samajwadi Party,41618
Uttar Pradesh - Bindki,SUKHDEV PRASAD VERMA,Bahujan Samaj Party,32297
Uttar Pradesh - Bindki,ABHIMANYU SINGH,Indian National Congress,2002
Uttar Pradesh - Bindki,AMARJEET SINGH JANSEWAK,Lok Dal,1745
Uttar Pradesh - Bindki,SHAHEEN HASAN,Rashtriya Lok Dal,1561
Uttar Pradesh - Bindki,SEWALAL SONKAR,Independent,1540
Uttar Pradesh - Bindki,ACHARYA SUBHASH CHANDRA TRIPATHI,Akhil Bhartiya Swarajya Dal,1493
Uttar Pradesh - Bindki,RAMBABU,Jay Hind Jay Bharat Party,608
Uttar Pradesh - Bindki,RITA DEVI,Bahujan Mukti Party,542
Uttar Pradesh - Bindki,MUBARAK ALI,Fauji Janta Party,427
Uttar Pradesh - Bindki,None of the Above,None of the Above,2142
Uttar Pradesh - Fatehpur,VIKRAM SINGH,Bharatiya Janata Party,89481
Uttar Pradesh - Fatehpur,CHANDRA PRAKASH LODHI,Samajwadi Party,57983
Uttar Pradesh - Fatehpur,SAMEER TRIVEDI,Bahujan Samaj Party,35548
Uttar Pradesh - Fatehpur,GAYA PRASAD,Communist Party of India  (Marxist),2013
Uttar Pradesh - Fatehpur,SAURABH MISHRA,Independent,1744
Uttar Pradesh - Fatehpur,VIKRAM SINGH LODHI,Rashtriya Lok Dal,1614
Uttar Pradesh - Fatehpur,RAJ KUMAR LODHI,Independent,909
Uttar Pradesh - Fatehpur,MO. ANWAR ALI,Samtawadi Republican Party,815
Uttar Pradesh - Fatehpur,RAMESH KUMAR GUPTA,Parivartan Samaj Party,677
Uttar Pradesh - Fatehpur,DURGA PRASAD GUPTA,Independent,548
Uttar Pradesh - Fatehpur,GANGA PRASAD SINGH LODHI,Independent,513
Uttar Pradesh - Fatehpur,BABU RAM,Independent,480
Uttar Pradesh - Fatehpur,KAMLESH KUMARI,Bhartiya Shakti Chetna Party,456
Uttar Pradesh - Fatehpur,SURESH,Bahujan Mukti Party,426
Uttar Pradesh - Fatehpur,None of the Above,None of the Above,1961
Uttar Pradesh - Ayah Shah,VIKAS GUPTA,Bharatiya Janata Party,81203
Uttar Pradesh - Ayah Shah,AYODHYA PRASAD,Samajwadi Party,29238
Uttar Pradesh - Ayah Shah,RAMBAHADUR,Bahujan Samaj Party,27365
Uttar Pradesh - Ayah Shah,ABBAS MEHNDI,Peace Party,2159
Uttar Pradesh - Ayah Shah,DEV KUMAR,Rashtriya Lok Dal,1708
Uttar Pradesh - Ayah Shah,SUKHRAJ,Independent,1691
Uttar Pradesh - Ayah Shah,HEMLATA,Independent,1526
Uttar Pradesh - Ayah Shah,BHOLA NATH,Independent,953
Uttar Pradesh - Ayah Shah,B.L.RAI,Independent,823
Uttar Pradesh - Ayah Shah,RAMRAJ,Independent,788
Uttar Pradesh - Ayah Shah,KRISHNA PAL AWASTHI,Independent,458
Uttar Pradesh - Ayah Shah,RAJ KUMAR,Independent,448
Uttar Pradesh - Ayah Shah,HORALAL,Bharat Kranti Rakshak Party,358
Uttar Pradesh - Ayah Shah,CHHOTELAL,Pragatisheel Manav Samaj Party,333
Uttar Pradesh - Ayah Shah,KRISHNA PAL,Independent,283
Uttar Pradesh - Ayah Shah,None of the Above,None of the Above,1600
Uttar Pradesh - Husainganj,RANVENDRA PRATAP SINGH URF DHUNNI BHAIYA,Bharatiya Janata Party,73595
Uttar Pradesh - Husainganj,USHA MAURYA,Indian National Congress,55002
Uttar Pradesh - Husainganj,MO. ASIF,Bahujan Samaj Party,34415
Uttar Pradesh - Husainganj,RAKESH PRAJAPATI,Communist Party of India,3416
Uttar Pradesh - Husainganj,PAPPU SINGH,Rashtriya Lok Dal,2291
Uttar Pradesh - Husainganj,RAJESH KUMAR SAHU (RAJU SAHU),Independent,1275
Uttar Pradesh - Husainganj,ISRAR,Independent,755
Uttar Pradesh - Husainganj,SHAMSHER SINGH,Fauji Janta Party,724
Uttar Pradesh - Husainganj,ASHIS,Shivsena,699
Uttar Pradesh - Husainganj,SHAMSHAD AHMAD,Bahujan Sangharsh Party (Kanshiram),647
Uttar Pradesh - Husainganj,KULDEEP URF KULDEEPAK SINGH PAL,Adarsh Lok Dal,484
Uttar Pradesh - Husainganj,None of the Above,None of the Above,2361
Uttar Pradesh - Khaga,KRISHNA PASWAN,Bharatiya Janata Party,94954
Uttar Pradesh - Khaga,OM PRAKASH GIHAR,Indian National Congress,38520
Uttar Pradesh - Khaga,SUNIL KUMAR,Bahujan Samaj Party,38359
Uttar Pradesh - Khaga,HEERA LAL,Communist Party of India,4293
Uttar Pradesh - Khaga,RAJESH RAO,Rashtriya Lok Dal,2846
Uttar Pradesh - Khaga,ANIL KUMAR,Bahujan Mukti Party,1798
Uttar Pradesh - Khaga,None of the Above,None of the Above,3801
Uttar Pradesh - Rampur Khas,ARADHANA MISHRA 'MONA',Indian National Congress,81463
Uttar Pradesh - Rampur Khas,NAGESH PRATAP SINGH URF CHHOTE SARKAR,Bharatiya Janata Party,64397
Uttar Pradesh - Rampur Khas,ASHOK SINGH,Bahujan Samaj Party,7933
Uttar Pradesh - Rampur Khas,KAMARUDDIN,Communist Party of India,3472
Uttar Pradesh - Rampur Khas,SURENDRA SINGH,Nationalist Congress Party,3055
Uttar Pradesh - Rampur Khas,GYANENDRA SINGH,Shivsena,1495
Uttar Pradesh - Rampur Khas,VANDNA GUPTA,Manavtawadi Samaj Party,1293
Uttar Pradesh - Rampur Khas,ARVIND KUMAR,Rashtriya Lok Dal,1207
Uttar Pradesh - Rampur Khas,KAMTA PATEL,Bahujan Mukti Party,902
Uttar Pradesh - Rampur Khas,RAVINDRA KUMAR,Lok Dal,870
Uttar Pradesh - Rampur Khas,SURENDRA BAHADUR,Bharatiya Rashtriya Bahujan Samaj Vikas Party,857
Uttar Pradesh - Rampur Khas,NAVEEN PRATAP SINGH,Independent,645
Uttar Pradesh - Rampur Khas,NAGESH SINGH,Swarajya Party Of India,542
Uttar Pradesh - Rampur Khas,DURGESH KUMAR,Public Political Party,496
Uttar Pradesh - Rampur Khas,JAGRAM YADAV,Akhand Rashtrawadi Party,433
Uttar Pradesh - Rampur Khas,None of the Above,None of the Above,1595
Uttar Pradesh - Babaganj,VINOD KUMAR,Independent,87778
Uttar Pradesh - Babaganj,PAWAN KUMAR,Bharatiya Janata Party,50618
Uttar Pradesh - Babaganj,DAYA RAM,Bahujan Samaj Party,17205
Uttar Pradesh - Babaganj,RAM SARAN,Independent,3351
Uttar Pradesh - Babaganj,SANJAY KUMAR,Bahujan Mukti Party,2298
Uttar Pradesh - Babaganj,SITARAM,Independent,1936
Uttar Pradesh - Babaganj,KUWAR BHARATI,Independent,1403
Uttar Pradesh - Babaganj,None of the Above,None of the Above,3386
Uttar Pradesh - Kunda,RAGHURAJ PRATAP SINGH,Independent,136597
Uttar Pradesh - Kunda,JANKI SHARAN,Bharatiya Janata Party,32950
Uttar Pradesh - Kunda,PARVEZ AKHTAR,Bahujan Samaj Party,17261
Uttar Pradesh - Kunda,BHAGWANDEEN,Independent,5514
Uttar Pradesh - Kunda,RAM KRIPAL,Independent,2615
Uttar Pradesh - Kunda,JIYALAL,Bahujan Mukti Party,2109
Uttar Pradesh - Kunda,None of the Above,None of the Above,3992
Uttar Pradesh - Vishwanathganj,RAKESH KUMAR VERMA ALIAS DR.R.K.VERMA,Apna Dal (Soneylal),81899
Uttar Pradesh - Vishwanathganj,SANJAY PANDEY,Indian National Congress,58541
Uttar Pradesh - Vishwanathganj,PREMANAND TRIPATHI,Bahujan Samaj Party,33878
Uttar Pradesh - Vishwanathganj,RAKESH KUMAR,Independent,5830
Uttar Pradesh - Vishwanathganj,UPENDRA NARAYAN,Communist Party of India,2627
Uttar Pradesh - Vishwanathganj,SUSHIL KUMAR,Rashtriya Janta Party,2053
Uttar Pradesh - Vishwanathganj,RAJENDRA KUMAR DUBEY,Lok Gathbandhan Party,1632
Uttar Pradesh - Vishwanathganj,RAM LAKHAN CHATURVEDI,Independent,1616
Uttar Pradesh - Vishwanathganj,ABDUL LATIF,VANCHITSAMAJ INSAAF PARTY,1591
Uttar Pradesh - Vishwanathganj,NANDLAL YADAV,Bahujan Mukti Party,1238
Uttar Pradesh - Vishwanathganj,INDRAJEET,Independent,1156
Uttar Pradesh - Vishwanathganj,ANIL KUMAR,Independent,984
Uttar Pradesh - Vishwanathganj,RAKESH KUMAR,Rashtriya Lok Dal,873
Uttar Pradesh - Vishwanathganj,RAJKUMAR,Nationalist Congress Party,754
Uttar Pradesh - Vishwanathganj,None of the Above,None of the Above,1951
Uttar Pradesh - Pratapgarh,SANGAM LAL GUPTA,Apna Dal (Soneylal),80828
Uttar Pradesh - Pratapgarh,"NAGENDRA SINGH "" MUNNA YADAV""",Samajwadi Party,46274
Uttar Pradesh - Pratapgarh,ASHOK TRIPATHI,Bahujan Samaj Party,41750
Uttar Pradesh - Pratapgarh,SHIV RAM SHUKLA,Independent,3426
Uttar Pradesh - Pratapgarh,PRAMOD KUMAR,Independent,3174
Uttar Pradesh - Pratapgarh,VINOD KUMAR,Lok Dal,1429
Uttar Pradesh - Pratapgarh,SHRAWAN KUMAR,Rashtriya Samaj Paksha,1233
Uttar Pradesh - Pratapgarh,YOGENDRA KUMAR,Independent,1053
Uttar Pradesh - Pratapgarh,DHARMENDRA,Rashtriya Lok Dal,989
Uttar Pradesh - Pratapgarh,ATMA PRAKASH,Shivsena,846
Uttar Pradesh - Pratapgarh,RAM DAYAL,Bahujan Mukti Party,834
Uttar Pradesh - Pratapgarh,PARITOSH KUMAR,Independent,415
Uttar Pradesh - Pratapgarh,DEEPMALA SHRIVASTAV,Public Political Party,411
Uttar Pradesh - Pratapgarh,IDRAKAR MISHRA,Independent,326
Uttar Pradesh - Pratapgarh,None of the Above,None of the Above,2191
Uttar Pradesh - Patti,RAJENDRA PRATAP SINGH ALIAS MOTI,Bharatiya Janata Party,75011
Uttar Pradesh - Patti,RAM SINGH,Samajwadi Party,73538
Uttar Pradesh - Patti,KUNWAR SHAKTI SINGH,Bahujan Samaj Party,46427
Uttar Pradesh - Patti,VIJAY,Nirbal Indian Shoshit Hamara Aam Dal,3025
Uttar Pradesh - Patti,LALIT NARAYAN MISHRA,Communist Party of India,1846
Uttar Pradesh - Patti,CHANDRABALI YADAV,Rashtriya Lok Dal,1088
Uttar Pradesh - Patti,YOGINI NIRMALA DEVI,Independent,949
Uttar Pradesh - Patti,RAM SAMUJH MAURYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),809
Uttar Pradesh - Patti,SUBHASH CHANDRA,Independent,705
Uttar Pradesh - Patti,GUNAKAR PANDEY,Lok Dal,635
Uttar Pradesh - Patti,KANT LAL,Awami Samta Party,620
Uttar Pradesh - Patti,RAM LALE,Rashtriya Bahujan Congress Party,549
Uttar Pradesh - Patti,RAMSHIROMANI,Bahujan Mukti Party,477
Uttar Pradesh - Patti,None of the Above,None of the Above,2244
Uttar Pradesh - Raniganj,ABHAY KUMAR ALIAS DHIRAJ OJHA,Bharatiya Janata Party,67031
Uttar Pradesh - Raniganj,SHAKEEL AHMAD KHAN,Bahujan Samaj Party,58022
Uttar Pradesh - Raniganj,PROF.SHIVAKANT OJHA,Samajwadi Party,37816
Uttar Pradesh - Raniganj,SHREENATH,Nirbal Indian Shoshit Hamara Aam Dal,2052
Uttar Pradesh - Raniganj,PRANANJANY,Independent,1874
Uttar Pradesh - Raniganj,ANIL YADAV,Sarv Sambhaav Party,1379
Uttar Pradesh - Raniganj,SHASHI BHUSAN,Independent,1340
Uttar Pradesh - Raniganj,RAM SHIROMANI SHUKLA,Rashtriya Lok Dal,1209
Uttar Pradesh - Raniganj,TRIBHUWAN,Communist Party of India,1008
Uttar Pradesh - Raniganj,DINESH PANDEY,Independent,818
Uttar Pradesh - Raniganj,ASHOK KUMAR,Independent,657
Uttar Pradesh - Raniganj,NARENDRA KUMAR,Bahujan Mukti Party,629
Uttar Pradesh - Raniganj,ANURAG KUMAR,Bharatiya Karyasth Sena,488
Uttar Pradesh - Raniganj,DHEERAJ,Independent,418
Uttar Pradesh - Raniganj,AWADHESH,Lok Dal,411
Uttar Pradesh - Raniganj,SUSHIL KUMAR,Independent,313
Uttar Pradesh - Raniganj,PARASNATH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),241
Uttar Pradesh - Raniganj,RAM ASREY,Pragatisheel Samaj Party,225
Uttar Pradesh - Raniganj,None of the Above,None of the Above,1259
Uttar Pradesh - Sirathu,SHEETLA PRASAD,Bharatiya Janata Party,78621
Uttar Pradesh - Sirathu,VACHASPATI,Samajwadi Party,52418
Uttar Pradesh - Sirathu,SAEEDURRAB,Bahujan Samaj Party,43782
Uttar Pradesh - Sirathu,ASHISH KUMAR MAURYA,Bahujan Mukti Party,4453
Uttar Pradesh - Sirathu,VISHWAJEET SINGH,Independent,2396
Uttar Pradesh - Sirathu,SHIV SINGH YADAV,Communist Party of India,2179
Uttar Pradesh - Sirathu,MITHLESH KUMAR,Independent,1641
Uttar Pradesh - Sirathu,GOPAL SINGH,Rashtriya Lok Dal,1580
Uttar Pradesh - Sirathu,SANGITA DEVI,Swatantra Jantaraj Party,1181
Uttar Pradesh - Sirathu,CHHEDDOO,Independent,1147
Uttar Pradesh - Sirathu,HARI LAL,Parivartan Samaj Party,1118
Uttar Pradesh - Sirathu,NAFEES AHMAD,Independent,887
Uttar Pradesh - Sirathu,SUSHIL KUMAR,Shivsena,788
Uttar Pradesh - Sirathu,LAAKHAN SINGH RAJPASI,Bharat Kranti Rakshak Party,787
Uttar Pradesh - Sirathu,SHASHI BHUSHAN,Lok Dal,702
Uttar Pradesh - Sirathu,JETVAN PRATAP,Bhartiya Krishak Dal,700
Uttar Pradesh - Sirathu,None of the Above,None of the Above,1806
Uttar Pradesh - Manjhanpur,LAL BAHADUR,Bharatiya Janata Party,92818
Uttar Pradesh - Manjhanpur,INDRAJEET SAROJ,Bahujan Samaj Party,88658
Uttar Pradesh - Manjhanpur,HEMANT KUMAR TUNNU,Samajwadi Party,33717
Uttar Pradesh - Manjhanpur,JAYKARAN,Bahujan Mukti Party,1604
Uttar Pradesh - Manjhanpur,BAL CHANDRA GAUTAM,Independent,1473
Uttar Pradesh - Manjhanpur,VIKRAM SINGH RAJPASI,Bharat Kranti Rakshak Party,1414
Uttar Pradesh - Manjhanpur,None of the Above,None of the Above,3949
Uttar Pradesh - Chail,SANJAY KUMAR,Bharatiya Janata Party,85713
Uttar Pradesh - Chail,TALAT AZIM,Indian National Congress,45597
